Date,Time,PH1,PH2,COND1,COND2,WATER_TEMP,ROOM_TEMP,FBB1,FBB2,FF1,RACK1,DO,TGP
11/08/20,00:05,7.32,0,1030,0,27.7756,25.9138,4.9,0,10.2,0,0,0
11/08/20,00:20,7.32,0,1034,0,27.7669,25.8877,5,0,10.4,0,0,0
11/08/20,00:35,7.31,0,1028,0,27.7669,25.8877,4.7,0,10.3,0,0,0
11/08/20,00:50,7.3,0,1038,0,27.7582,25.9051,5,0,10.2,0,0,0
11/08/20,01:05,7.32,0,1044,0,27.7669,25.8616,4.5,0,10.3,0,0,0
11/08/20,01:20,7.31,0,1036,0,27.7495,25.8529,4.7,0,10.3,0,0,0
11/08/20,01:35,7.31,0,1036,0,27.7408,25.8442,4.3,0,10.3,0,0,0
11/08/20,01:50,7.32,0,1034,0,27.7408,25.8355,4.5,0,10.3,0,0,0
11/08/20,02:05,7.31,0,1040,0,27.7321,25.8442,5,0,10.2,0,0,0
11/08/20,02:20,7.31,0,1040,0,27.7408,25.8529,4.6,0,10.3,0,0,0
11/08/20,02:35,7.31,0,1038,0,27.7408,25.8094,5.1,0,10.4,0,0,0
11/08/20,02:50,7.3,0,1034,0,27.7321,25.8442,4.8,0,10.2,0,0,0
11/08/20,03:05,7.31,0,1034,0,27.7234,25.8181,4.7,0,10.3,0,0,0
11/08/20,03:20,7.3,0,1030,0,27.7234,25.8268,5.3,0,10.4,0,0,0
11/08/20,03:35,7.3,0,1034,0,27.7321,25.8616,4.7,0,10.2,0,0,0
11/08/20,03:50,7.31,0,1040,0,27.7147,25.792,4.4,0,10.5,0,0,0
11/08/20,04:05,7.31,0,1044,0,27.7234,25.8268,4.8,0,10.1,0,0,0
11/08/20,04:20,7.31,0,1030,0,27.7234,25.8268,4.9,0,10.3,0,0,0
11/08/20,04:35,7.32,0,1036,0,27.7234,25.8181,4.8,0,10.2,0,0,0
11/08/20,04:50,7.32,0,1046,0,27.7234,25.8268,5,0,10.2,0,0,0
11/08/20,05:05,7.32,0,1050,0,27.7234,25.8094,5,0,10.4,0,0,0
11/08/20,05:20,7.32,0,1044,0,27.7147,25.7746,4.8,0,10.7,0,0,0
11/08/20,05:35,7.32,0,1040,0,27.7147,25.8268,4.5,0,10.4,0,0,0
11/08/20,05:50,7.32,0,1046,0,27.706,25.7833,4.5,0,10.3,0,0,0
11/08/20,06:05,7.32,0,1034,0,27.6973,25.8007,5.1,0,10.3,0,0,0
11/08/20,06:20,7.32,0,1048,0,27.706,25.8268,4.5,0,10.3,0,0,0
11/08/20,06:35,7.32,0,1046,0,27.6973,25.7659,4.4,0,10.4,0,0,0
11/08/20,06:50,7.32,0,1046,0,27.6973,25.8094,5,0,10.3,0,0,0
11/08/20,07:05,7.32,0,1048,0,27.6973,25.792,4.8,0,10.5,0,0,0
11/08/20,07:20,7.32,0,1046,0,27.6886,25.7833,4.6,0,10.2,0,0,0
11/08/20,07:35,7.32,0,1044,0,27.6799,25.8007,4.3,0,10.4,0,0,0
11/08/20,07:50,7.31,0,1050,0,27.6799,25.8007,4.6,0,10.3,0,0,0
11/08/20,08:05,7.31,0,1040,0,27.6712,25.792,4.2,0,10.5,0,0,0
11/08/20,08:20,7.31,0,1038,0,27.6712,25.8442,4.5,0,10.3,0,0,0
11/08/20,08:35,7.29,0,1038,0,27.6625,25.8181,4.8,0,10.3,0,0,0
11/08/20,08:50,7.3,0,1054,0,27.6625,25.8355,4.6,0,10.2,0,0,0
11/08/20,09:05,7.29,0,1038,0,27.6712,25.8703,4.5,0,10.5,0,0,0
11/08/20,09:20,7.31,0,1028,0,27.6625,25.8355,5.4,0,10.3,0,0,0
11/08/20,09:35,7.3,0,1046,0,27.6451,25.8442,5,0,10.3,0,0,0
11/08/20,09:50,7.29,0,1046,0,27.6538,25.8877,4.4,0,10.3,0,0,0
11/08/20,10:05,7.29,0,1038,0,27.6625,25.8529,5.1,0,10.2,0,0,0
11/08/20,10:20,7.28,0,1036,0,27.6712,25.9051,4.9,0,10.5,0,0,0
11/08/20,10:35,7.2,0,1012,0,27.5233,25.8442,5,0,10.2,0,0,0
11/08/20,10:50,7.22,0,1008,0,27.5668,25.8268,4.5,0,10.5,0,0,0
11/08/20,11:05,7.25,0,1016,0,27.706,25.8616,3.9,0,10.5,0,0,0
11/08/20,11:20,7.26,0,1012,0,27.8017,25.8529,4.6,0,10.4,0,0,0
11/08/20,11:35,7.27,0,1012,0,27.8539,25.8964,4.6,0,10.2,0,0,0
11/08/20,11:50,7.29,0,1008,0,27.8626,25.9573,4.3,0,10.4,0,0,0
11/08/20,12:05,7.27,0,1018,0,27.8626,25.8877,4.7,0,10.6,0,0,0
11/08/20,12:20,7.3,0,1018,0,27.8452,25.9138,4.7,0,10.2,0,0,0
11/08/20,12:35,7.28,0,1022,0,27.8452,25.9486,4.5,0,10.4,0,0,0
11/08/20,12:50,7.29,0,1034,0,27.8452,25.9486,4.8,0,10.3,0,0,0
11/08/20,13:05,7.28,0,1018,0,27.8452,25.9834,5,0,10.4,0,0,0
11/08/20,13:20,7.3,0,1030,0,27.8365,25.8007,4.7,0,10.6,0,0,0
11/08/20,13:35,7.32,0,1020,0,27.8278,25.8529,4.2,0,10.3,0,0,0
11/08/20,13:50,7.3,0,1022,0,27.8278,25.9399,4.7,0,10.5,0,0,0
11/08/20,14:05,7.3,0,1020,0,27.8191,25.9573,5.3,0,10.5,0,0,0
11/08/20,14:20,7.3,0,1034,0,27.8278,25.9834,4.7,0,10.5,0,0,0
11/08/20,14:35,7.3,0,1022,0,27.8191,26.0182,4.7,0,10.6,0,0,0
11/08/20,14:50,7.31,0,1034,0,27.8278,25.9834,4.7,0,10.7,0,0,0
11/08/20,15:05,7.3,0,1026,0,27.8278,25.9747,4.8,0,10.6,0,0,0
